0,10,20,30,40,50,60,70,80,90,100
1,0.4017,0.53336,0.56468,0.76928,0.88538,0.90636,0.93501,0.94324,0.9558,0.95995
2,0.39424,0.44507,0.53546,0.61517,0.68682,0.83386,0.88721,0.92154,0.92985,0.93977
3,0.38052,0.43428,0.53198,0.60824,0.64637,0.71313,0.80618,0.86247,0.88636,0.91135
4,0.38044,0.43231,0.51019,0.60675,0.63563,0.70407,0.74514,0.7803,0.8002,0.84162
5,0.37722,0.42953,0.5099,0.59151,0.63352,0.69148,0.73611,0.76063,0.79099,0.8314
6,0.36829,0.4292,0.50976,0.57631,0.6314,0.67752,0.70358,0.74926,0.79009,0.82154
7,0.36489,0.42812,0.50293,0.55716,0.61183,0.65978,0.69888,0.74409,0.78942,0.82096
8,0.33946,0.42359,0.50173,0.54115,0.60859,0.65349,0.69688,0.73292,0.77906,0.81472
9,0.33606,0.42172,0.49908,0.52979,0.59608,0.6523,0.69414,0.73273,0.77652,0.81051
10,0.33281,0.41804,0.48373,0.52868,0.57654,0.64361,0.6904,0.7296,0.7739,0.80628
11,0.32947,0.41414,0.47925,0.52701,0.57296,0.64198,0.68189,0.72724,0.77255,0.80601
12,0.31518,0.40464,0.47005,0.51796,0.57188,0.64159,0.67737,0.72701,0.76853,0.80526
13,0.2957,0.40299,0.46942,0.5175,0.56707,0.6194,0.67578,0.72324,0.76437,0.80464
14,0.27658,0.39943,0.46525,0.51111,0.56064,0.61528,0.67469,0.72067,0.76434,0.79864
15,0.25183,0.38346,0.46393,0.50626,0.5598,0.61193,0.67289,0.71543,0.75729,0.79543
16,0.23812,0.38292,0.46284,0.50555,0.55408,0.61108,0.67031,0.71435,0.7572,0.79506
17,0.2161,0.36489,0.45806,0.50161,0.55347,0.61048,0.66954,0.71181,0.75634,0.79227
18,0.21071,0.36051,0.4493,0.49757,0.55265,0.61043,0.66363,0.71157,0.75567,0.78936
19,0.2042,0.35631,0.44661,0.49732,0.54135,0.60114,0.66203,0.7099,0.74783,0.78844
20,0.19781,0.34181,0.44245,0.49648,0.54008,0.59769,0.66185,0.70901,0.744,0.78393
21,0.18924,0.33881,0.43497,0.49645,0.53914,0.59555,0.66182,0.70552,0.7427,0.77817
22,0.18779,0.33759,0.43351,0.49536,0.53851,0.59379,0.65978,0.70073,0.73738,0.77716
23,0.18502,0.32019,0.42859,0.48759,0.53441,0.58843,0.65765,0.70072,0.73457,0.7767
24,0.18203,0.31114,0.42772,0.48616,0.52839,0.57794,0.65526,0.70018,0.73185,0.77315
25,0.14827,0.29335,0.42632,0.48252,0.52552,0.57662,0.65467,0.69712,0.72986,0.77242
26,0.14771,0.28107,0.42186,0.48193,0.51949,0.5762,0.64616,0.69399,0.7291,0.77057
27,0.14154,0.27755,0.40439,0.48108,0.51912,0.57538,0.62911,0.68254,0.72899,0.77023
28,0.13089,0.27604,0.40422,0.48066,0.51693,0.57436,0.62568,0.67384,0.72779,0.76785
29,0.11658,0.26816,0.38886,0.4806,0.51426,0.56948,0.62546,0.67159,0.72745,0.76697
30,0.10992,0.2616,0.37638,0.47924,0.51283,0.56887,0.61851,0.66642,0.72741,0.76396
31,0.10797,0.2428,0.37522,0.476,0.51223,0.56625,0.61162,0.66621,0.72556,0.76198
32,0.10108,0.24137,0.37474,0.46527,0.51121,0.55924,0.61017,0.66554,0.72499,0.76137
33,0.083507,0.23546,0.37128,0.46231,0.50889,0.55835,0.60781,0.6638,0.72024,0.75967
34,0.079513,0.23486,0.36486,0.45899,0.50879,0.5581,0.60359,0.66205,0.71739,0.75924
35,0.073345,0.23472,0.35738,0.4396,0.50527,0.55581,0.60188,0.66176,0.71697,0.75774
36,0.071837,0.23221,0.3561,0.43851,0.50473,0.55498,0.60141,0.65979,0.71652,0.75742
37,0.062819,0.23064,0.35293,0.41291,0.50111,0.55478,0.59636,0.65022,0.7145,0.75711
38,0.062661,0.23006,0.35219,0.40758,0.49493,0.55277,0.59298,0.65016,0.71349,0.7556
39,0.060073,0.22783,0.34261,0.40482,0.48582,0.54607,0.59017,0.64691,0.71306,0.75544
40,0.059195,0.21382,0.3402,0.40309,0.4813,0.54515,0.58916,0.6441,0.71223,0.75357
41,0.051757,0.21198,0.32225,0.40029,0.48046,0.54258,0.58776,0.64263,0.70619,0.75086
42,0.051522,0.19704,0.31629,0.39756,0.4737,0.54118,0.58726,0.64076,0.70573,0.75069
43,0.05089,0.19574,0.3107,0.39709,0.46885,0.54094,0.58648,0.63999,0.70493,0.7501
44,0.047729,0.19095,0.29009,0.39548,0.46881,0.53817,0.58308,0.63985,0.70316,0.74814
45,0.046057,0.1817,0.28335,0.39536,0.46563,0.53636,0.58264,0.63864,0.70009,0.74769
46,0.044207,0.17751,0.27706,0.38507,0.46529,0.53404,0.58243,0.63655,0.6999,0.74743
47,0.044,0.17544,0.27699,0.38437,0.46073,0.53183,0.5807,0.63303,0.69892,0.74671
48,0.043262,0.16823,0.27529,0.38409,0.45897,0.53149,0.5797,0.63297,0.6979,0.74537
49,0.042483,0.16422,0.26857,0.38398,0.4568,0.52741,0.57835,0.62957,0.69508,0.74345
50,0.041653,0.15896,0.2659,0.38021,0.45066,0.52736,0.57692,0.62813,0.69098,0.74285
51,0.040794,0.15622,0.26347,0.38002,0.44878,0.52432,0.57636,0.62781,0.68821,0.73964
52,0.040273,0.15584,0.2593,0.3662,0.44797,0.5216,0.56887,0.6272,0.68776,0.7393
53,0.0396,0.15373,0.25635,0.36606,0.44056,0.52081,0.56844,0.62611,0.68683,0.73808
54,0.039489,0.14501,0.2497,0.36529,0.43574,0.51862,0.56734,0.62492,0.68611,0.73545
55,0.039137,0.144,0.24964,0.3593,0.43548,0.51667,0.56725,0.62391,0.6849,0.73485
56,0.03588,0.14301,0.23235,0.359,0.433,0.5086,0.56695,0.62133,0.6763,0.73283
57,0.034954,0.13906,0.22566,0.35671,0.42867,0.50243,0.56287,0.61805,0.67017,0.73124
58,0.034658,0.13701,0.22512,0.35181,0.42759,0.49331,0.5628,0.61757,0.66977,0.72941
59,0.032255,0.13468,0.22356,0.34836,0.42538,0.48644,0.56265,0.61714,0.66305,0.72456
60,0.030108,0.12987,0.22113,0.34507,0.42304,0.48608,0.56159,0.60829,0.66297,0.72382
61,0.02857,0.12732,0.22024,0.3384,0.41301,0.48425,0.55872,0.60688,0.6627,0.72164
62,0.026843,0.11358,0.21871,0.3372,0.39231,0.4835,0.55777,0.60629,0.6623,0.71406
63,0.025218,0.10658,0.2176,0.33145,0.39168,0.48219,0.55767,0.6037,0.66041,0.71386
64,0.022819,0.10442,0.20922,0.32748,0.39135,0.48081,0.54774,0.60354,0.65971,0.7133
65,0.021583,0.1014,0.20674,0.31905,0.39027,0.47478,0.54313,0.60297,0.65911,0.71201
66,0.021092,0.096847,0.20419,0.31357,0.38992,0.47337,0.54187,0.59834,0.65806,0.71183
67,0.020768,0.091703,0.2018,0.30606,0.37841,0.47263,0.53869,0.59765,0.65176,0.71136
68,0.019852,0.086479,0.19625,0.3043,0.37797,0.46934,0.53852,0.59369,0.64979,0.709
69,0.018878,0.085394,0.19591,0.30388,0.37786,0.46602,0.53022,0.59298,0.64802,0.70898
70,0.017338,0.082115,0.19262,0.30089,0.37295,0.46512,0.52817,0.5929,0.64671,0.70309
71,0.017244,0.080662,0.18857,0.30012,0.37258,0.44934,0.52434,0.59215,0.64595,0.70203
72,0.017232,0.079214,0.17939,0.29927,0.36941,0.44849,0.52287,0.59119,0.64056,0.70077
73,0.017149,0.078684,0.179,0.29521,0.36498,0.4445,0.52217,0.59089,0.63992,0.69728
74,0.017048,0.076241,0.17756,0.27916,0.36391,0.4398,0.51492,0.58581,0.63597,0.69389
75,0.016376,0.074095,0.17403,0.26526,0.36246,0.43676,0.51016,0.58041,0.63475,0.69196
76,0.014488,0.072842,0.17204,0.26359,0.35877,0.43603,0.51011,0.57664,0.63151,0.68903
77,0.01378,0.072403,0.14935,0.26158,0.35829,0.43587,0.5074,0.57308,0.62856,0.6885
78,0.013106,0.06962,0.1487,0.26009,0.34332,0.43561,0.50465,0.57293,0.62479,0.68702
79,0.010714,0.068438,0.1479,0.25761,0.3433,0.43352,0.50378,0.57045,0.62183,0.68673
80,0.010672,0.067961,0.1476,0.2388,0.33113,0.42008,0.49791,0.56816,0.6197,0.6806
