0,0.001,0.01,0.1,1,10,100,1000
10,0.10351,0.10351,0.10351,0.10351,0.10353,0.10369,0.10534
20,0.13861,0.13861,0.13861,0.13861,0.13861,0.1387,0.13956
30,0.17005,0.17005,0.17005,0.17005,0.17006,0.17015,0.17142
40,0.19392,0.19392,0.19393,0.19393,0.19393,0.19399,0.19461
50,0.20397,0.20397,0.20397,0.20397,0.20398,0.20401,0.20439
60,0.21695,0.21695,0.21695,0.21695,0.21695,0.21699,0.21729
70,0.22325,0.22325,0.22325,0.22325,0.22325,0.22328,0.22355
80,0.22335,0.22335,0.22335,0.22335,0.22335,0.22337,0.22358
90,0.21825,0.21825,0.21825,0.21825,0.21825,0.21827,0.21843
100,0.21021,0.21021,0.21021,0.21021,0.21021,0.21022,0.21037
