0,20,40,60,80,100,120,140,160,180,200
1,1.0002,1.0083,1,1,1,1.0004,1.0007,1.0589,1,1.0001
2,1,1.0009,1,1,1,1.0001,1.0007,1.0589,1,1
3,1,1,1,1,1,1,1.0007,1.0124,1,1
4,1,1,1,1,1,1,1.0007,1.0124,1,1
5,1,1,1,1,1,1,1.0007,1.0124,1,1
6,1,1,1,1,1,1,1.0007,1.0124,1,1
7,0.99989,1,1,1,1,1,1.0007,1.0124,1,1
8,0.99989,1,1,1,1,1,1.0007,1.0023,1,1
9,0.56255,1,1,1,1,0.99999,1.0007,1.0023,1,1
10,0.50813,1,1,1,1,0.99999,1.0007,1.0023,0.99999,1
11,0.50807,1,1,1,1,0.99999,1.0007,1.0023,0.99999,1
12,0.32239,1,1,1,1,0.99998,1.0007,1.0023,0.99999,1
13,0.25698,1,1,1,1,0.99998,1.0007,1.0023,0.99998,1
14,0.24952,1,1,1,1,0.99998,1.0007,1.0023,0.99998,1
15,0.24032,1,1,1,1,0.99998,1.0007,1.0023,0.99998,1
16,0.19339,1,1,1,1,0.99997,1.0007,1.0023,0.99998,1
17,0.18297,1,1,1,1,0.99996,1.0007,1.0023,0.99998,1
18,0.16427,1,1,1,1,0.99996,1.0007,1.0023,0.99998,1
19,0.14801,1,1,1,1,0.99994,1.0007,1.0023,0.99997,1
20,0.11552,1,1,1,1,0.99992,1.0007,1.0023,0.99996,1
21,0.11522,1,1,1,1,0.99991,1.0007,1.0023,0.99996,1
22,0.095936,1,1,1,1,0.99991,1.0007,1.0023,0.99996,1
23,0.0933,1,1,1,1,0.99989,1.0007,1.0023,0.99996,1
24,0.083003,1,1,1,1,0.99988,1.0007,1.0023,0.99995,1
25,0.073457,1,1,1,1,0.99988,1.0007,1.0023,0.99995,1
26,0.072932,1,1,1,1,0.99988,1.0007,1.0023,0.99994,1
27,0.070965,1,1,1,1,0.99987,1.0007,1.0023,0.99994,1
28,0.069552,1,1,1,1,0.99986,1.0007,1,0.99994,1
29,0.065726,1,1,1,1,0.99983,1.0007,1,0.99994,0.99999
30,0.065704,0.99075,1,1,1,0.99981,1.0007,1,0.99992,0.99999
31,0.064718,0.655,1,1,1,0.99981,1.0007,1,0.99992,0.99999
32,0.06417,0.34069,1,1,1,0.99981,1.0007,1,0.99992,0.99999
33,0.064068,0.27029,1,1,1,0.99978,1.0007,1,0.99992,0.99999
34,0.062966,0.26662,1,1,1,0.99976,1.0007,1,0.99991,0.99999
35,0.062846,0.25607,1,1,1,0.99976,1.0007,1,0.99991,0.99999
36,0.062733,0.20798,1,1,1,0.99975,1,1,0.99991,0.99999
37,0.062554,0.18893,1,1,1,0.99973,1,1,0.9999,0.99999
38,0.062413,0.15021,1,1,1,0.99973,1,1,0.99989,0.99999
39,0.062197,0.11942,1,1,1,0.99973,1,1,0.99989,0.99999
40,0.062061,0.119,1,1,1,0.99972,1,1,0.99988,0.99999
41,0.061712,0.098786,1,1,1,0.99972,1,1,0.99988,0.99998
42,0.059365,0.097373,1,1,1,0.99972,1,1,0.99987,0.99998
43,0.058872,0.08463,1,1,1,0.99971,1,1,0.99987,0.99998
44,0.05781,0.076684,1,1,1,0.99966,1,1,0.99986,0.99998
45,0.056052,0.072125,1,1,1,0.99965,1,1,0.99986,0.99998
